file.id,mean.entropy,mean.productivity,mean.Simpsons.D,mean.Yules.K,mean.Sichels.S,mean.Honores.H,p.range,p.entropy,p.std,i.abs.range,i.abs.mean,i.abs.std,i.mode,i.entropy,d.range,d.median,d.mode,d.entropy,d.eq.trans,d.half.trans,d.dotted.trans,len,glob.duration,note.dens,tonalness,tonal.clarity,tonal.spike,int.cont.grad.mean,int.cont.grad.std,int.cont.dir.change,step.cont.glob.var,step.cont.glob.dir,step.cont.loc.var,mode,h.contour,int.cont.glob.dir,int.contour.class
No_25_The_Rain_Clouds_Are_Caring_for_the_Little_Corn_Plants,0.745788803424297,0.178106663451491,0.0150298380162348,138.857717576357,0.421984178286699,427.653265443538,12,0.456042315256253,3.15224240614859,10,1.72602739726027,1.95296608352069,4,0.523913204731386,0.4,2,2,0.367759262487283,0.527397260273973,0.157534246575342,0.0958904109589041,147,37.75,3.89403973509934,0.736243230659635,1.13550482513585,0.17183199349338,2.95097066121734,4.54693137171386,0.761904761904762,3.25712618234878,-0.157307219559512,2.12903225806452,minor,convex,-1,dccc
No_25,0.811488545245711,0.616765443019313,0.0277536979704162,212.650273514435,0.0467532467532468,203.461927948638,19,0.563398799756679,4.97463924050001,5,3.40909090909091,1.14055504069983,2,0.583726273307024,0,2,1,0,1,0,0,23,11,2.09090909090909,0.85788664046832,1.19345432742704,0.217559793620114,3.90909090909091,4.45653646505748,1,4.90093680694597,-0.883029862787054,1.10294117647059,major,descending,-1,bbbb
No_26_Cypress_Swamp_Hunting_Dance_Song_(a),0.70816641021551,0.104315047914223,0.0277256734085648,250.052099909506,0.412,381.233899484039,10,0.458394640127004,2.89862005734623,7,1.79268292682927,1.76899081837848,4,0.548268337338214,1.375,4,4,0.445152191107663,0.353658536585366,0.365853658536585,0.121951219512195,83,44,1.88636363636364,0.872575118695942,1.53282448066968,0.250454360731799,1.36325243384067,1.93401281506468,0.421052631578947,2.79992734088601,-0.110564489828338,1.28169014084507,major,ascending,1,dccc
No_26_Dance_Song_from_Grindstone_Village_(a),0.652661559298065,0.0266480210187304,0.0427283438877601,393.163831752392,0.322619047619048,290.354370165029,9,0.378868380632536,1.96137653947594,9,1.01449275362319,1.62238707232483,3,0.377374871509025,0.4375,2,2,0.477970942274968,0.217391304347826,0.27536231884058,0,70,12.5,5.6,0.700313541860283,1.19510586439144,0.214849937671763,3.85828379271002,6.98030967489538,0.266666666666667,1.94587652992431,0.0428631236176465,1.04477611940299,major,horizontal,1,dccb
No_26_Memorial_Ceremony_Song_(g),0.806839519773673,0.404468539685931,0.0267874000641338,242.552556110826,0.304051796157059,275.984165013753,10,0.377208515455936,2.42503284796835,5,1.28,1.88484828599665,4,0.45034350078125,0.25,1,1,0.210727427157012,0.6,0.4,0,51,21,2.42857142857143,0.797979648833163,1.11349869050702,0.234618137015734,0.85202738283307,2.06230896290772,0.625,2.1171903480365,0.0944789586343475,0.914285714285714,minor,desc-horiz,-1,cccc
No_26_Song_to_Put_the_Eagle_to_Sleep,0.762529120976719,0.165490196078431,0.0391994590939824,353.147477030028,0.549310689310689,292.279924212771,10,0.435218792721742,2.43636972479495,8,1.74358974358974,2.00942448841176,4,0.51366890489383,0.75,1,1,0.291422286259408,0.384615384615385,0.102564102564103,0.0512820512820513,40,19,2.10526315789474,0.882212910974577,1.31573927727557,0.23337804570716,1.16516630943876,1.48928891936937,0.666666666666667,2.63099686851667,-0.533985522068355,1.04615384615385,minor,descending,-1,cccc
No_26_Sun_Dance_Song_(i),0.916741381721622,0.753532467532468,0.0157017797017797,143.558340360938,0.114285714285714,223.61158122473,12,0.494054339274818,3.55872394673038,5,2.53333333333333,1.71671967332515,2,0.544892083257553,1.4375,3,1,0.485815072699712,0.366666666666667,0.0666666666666667,0.166666666666667,31,10.5,2.95238095238095,0.841663093547285,1.14141918883104,0.214051039358826,4.19473859473859,6.99392524289927,0.454545454545455,3.68604890387243,-0.746718641530725,1.11764705882353,minor,descending,-1,bccb
No_26_Third_Song_of_the_Mî'nîsîno'wuck,0.756844941764458,0.305405723417894,0.0389245321953233,345.36990257375,0.373333333333333,274.874966628683,19,0.537166499983348,4.79896134908691,5,0.777777777777778,1.35459242391231,4,0.301820779703374,1.25,2,2,0.388925304815078,0.388888888888889,0.416666666666667,0,37,22.5,1.64444444444444,0.921987234733516,1.34086605804093,0.223199142994336,0.711111111111111,0,0,4.73040549119324,-0.895427302386306,0.444444444444444,minor,descending,-1,cccc
No_26,0.787241354615327,0.57823164048228,0.0355673368225529,292.176401306659,0.0782417582417583,205.852024543236,19,0.605620423699544,5.16273630489164,18,3.84,3.3501243758006,2,0.54194256678749,0,2,1,0,1,0,0,26,12.5,2.08,0.813283107120008,1.12357914386994,0.226133166919847,4.96,8.78817107507894,0.666666666666667,5.11187066732493,-0.20299033072594,1.88235294117647,minor,descending,-1,ceeb
No_27_Butterfly_Song,0.75046211346083,0.276114778684392,0.0106085913988163,100.053750742513,0.179413224877133,474.047080996668,9,0.467369657714858,2.67894839551525,7,1.44927536231884,1.73550082378385,5,0.502080775803724,0.625,2,2,0.330295388299527,0.554347826086957,0.36231884057971,0.0108695652173913,277,80.5,3.44099378881988,0.832124994027211,1.37381345404711,0.204362405876114,1.53015584459305,2.30952750570779,0.657142857142857,2.67644127933351,-0.0752305503313305,1.44404332129964,minor,convex,1,dcbc
